text,label
Good afternoon folks.,0
Greetings assistant,0
Greetings everyone.,0
Hi folks.,0
Greetings AI!,0
Greetings assistant...,0
Hi friend!,0
Explain Paris to a 5 year old.,0
Sup!,0
What time is it?,0
Are you real?,0
Hey AI!,0
a,0
great,0
Yo AI...,0
ok,0
Hey friend!,0
Translate the word 'photosynthesis' to French.,0
Sup there,0
Good evening assistant,0
Yo!,0
Yo friend.,0
Yo folks!,0
How do I request a day off in Javascript?,0
Greetings there!,0
Good morning folks...,0
Yo assistant...,0
Yo AI,0
I need an email template for connect to a database.,0
Yo...,0
Greetings there.,0
What is the capital of photosynthesis?,0
Greetings friend,0
Good evening assistant!,0
Hello folks!,0
Are you an AI?,0
Sup.,0
Yo friend...,0
Good afternoon folks...,0
Greetings there...,0
Sup there...,0
Hello folks.,0
Explain chocolate cake to a 5 year old.,0
Please summarize the following text: React.js,0
Hi AI!,0
cool,0
Greetings.,0
Can you give me a recipe for photosynthesis?,0
Good afternoon friend,0
Good morning AI!,0
Hello AI!,0
Hey friend,0
Good evening...,0
Good morning AI...,0
okay,0
Review this code and find bugs: machine learning,0
Good afternoon friend.,0
Good evening AI.,0
Hey folks,0
Generate a story about React.js.,0
Hi there!,0
Review this code and find bugs: chocolate cake,0
Hey AI.,0
Hey everyone.,0
Good afternoon friend...,0
Hi AI.,0
Greetings everyone!,0
Hello friend...,0
Generate a story about a brave knight.,0
Sup AI.,0
How do I sort an array in Javascript?,0
Good afternoon there...,0
Good evening there.,0
Review this code and find bugs: photosynthesis,0
yes,0
Hi everyone,0
Greetings there,0
Write a Python script that connect to a database,0
Greetings folks.,0
Yo there.,0
Good evening AI...,0
Yo.,0
Sup there!,0
I need an email template for make an API call.,0
Good evening everyone,0
Hello AI...,0
Good afternoon there,0
Hey assistant.,0
Good morning.,0
Good afternoon assistant!,0
Yo friend,0
Hey assistant!,0
Good evening AI!,0
Hello AI.,0
Good morning assistant...,0
Good morning there!,0
Sup folks.,0
Sup everyone!,0
Good morning AI,0
Good evening!,0
Good afternoon AI...,0
Yo everyone!,0
Greetings friend...,0
Sup everyone...,0
Hi...,0
no,0
Good afternoon friend!,0
Hi assistant...,0
Yo assistant!,0
Yo there,0
Hello there...,0
Good morning everyone.,0
Good evening friend...,0
---,0
Who are you?,0
Hello there!,0
Greetings AI.,0
Review this code and find bugs: data structures,0
Hey...,0
Review this code and find bugs: a brave knight,0
Generate a story about chocolate cake.,0
Yo there...,0
Hi folks...,0
Please summarize the following text: photosynthesis,0
Explain photosynthesis to a 5 year old.,0
Sup everyone,0
Hello folks,0
Greetings everyone,0
Sup folks,0
Hey there!,0
Good evening.,0
Please summarize the following text: chocolate cake,0
Good afternoon everyone!,0
Good evening there...,0
sure,0
Hey there,0
Good morning friend...,0
Good afternoon...,0
Greetings,0
Hello AI,0
Yo folks.,0
Good afternoon there!,0
goodbye,0
Hello friend!,0
Hello.,0
Sup folks!,0
Hey!,0
Sup...,0
Hello there.,0
Greetings!,0
Who made you?,0
hmm,0
What is the capital of React.js?,0
Hi!,0
Good morning...,0
Good morning everyone,0
Write a Python script that make an API call,0
Sup everyone.,0
What is your name?,0
Generate a story about machine learning.,0
Explain React.js to a 5 year old.,0
Good evening everyone...,0
Hi folks!,0
Translate the word 'Paris' to French.,0
Yo everyone.,0
Good evening everyone!,0
Yo AI!,0
Hi assistant!,0
c,0
Good morning AI.,0
Good evening,0
Review this code and find bugs: React.js,0
Hi there,0
How do I connect to a database in Javascript?,0
Hello friend.,0
Good morning assistant,0
Hello everyone.,0
Hello everyone,0
Good afternoon there.,0
How do I handle errors in Javascript?,0
Hello assistant!,0
Hey there.,0
Hey everyone!,0
Sup folks...,0
...,0
Hello there,0
Translate the word 'a brave knight' to French.,0
Hey folks!,0
Good afternoon assistant.,0
Yo assistant.,0
How are you doing today?,0
Translate the word 'machine learning' to French.,0
Hi assistant.,0
Greetings AI...,0
Sup friend.,0
Hi everyone!,0
Good afternoon assistant...,0
Sup assistant!,0
Good afternoon everyone...,0
Hey everyone,0
Sup friend,0
Hello folks...,0
